stream_offset,frame_id,message_type,payload_length,report,record_index,target_num,cluster_id,x_m,y_m,z_m,dop_idx,speed_m_s,area0,area1,area2,area3,detected
3139,4642,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3172,4643,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3197,4644,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3230,4645,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3255,4646,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3288,4647,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3313,4648,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3346,4649,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3371,4650,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3404,4651,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3429,4652,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3462,4653,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3487,4654,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3520,4655,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3545,4656,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3578,4657,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3603,4658,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3636,4659,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3661,4660,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3694,4661,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3719,4662,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3752,4663,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3777,4664,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3810,4665,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3835,4666,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3868,4667,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3893,4668,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3926,4669,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
3951,4670,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
3984,4671,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4009,4672,0x0A04,24,target_list,0,1,1,-0.10393306612968445,0.6537121534347534,0.010483003221452236,4,,,,,,
4042,4673,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4067,4674,0x0A04,24,target_list,0,1,1,-0.04855834320187569,0.7024632692337036,-0.0018372662598267198,7,,,,,,
4100,4675,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4125,4676,0x0A04,24,target_list,0,1,1,-0.04855834320187569,0.7024632692337036,-0.0018372662598267198,7,,,,,,
4158,4677,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4183,4678,0x0A04,24,target_list,0,1,1,-0.11633208394050598,0.7407738566398621,0.10094931721687317,-3,,,,,,
4216,4679,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4241,4680,0x0A04,24,target_list,0,1,1,-0.11633208394050598,0.7407738566398621,0.10094931721687317,-3,,,,,,
4274,4681,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4299,4682,0x0A04,24,target_list,0,1,1,-0.11633208394050598,0.7407738566398621,0.10094931721687317,-3,,,,,,
4332,4683,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4357,4684,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4390,4685,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4415,4686,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4448,4687,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4473,4688,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4506,4689,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4531,4690,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4564,4691,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4589,4692,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4622,4693,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4647,4694,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4680,4695,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4705,4696,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4738,4697,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4763,4698,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4796,4699,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4821,4700,0x0A04,24,target_list,0,1,1,-0.1579730063676834,0.7673472166061401,-0.03894522413611412,4,,,,,,
4854,4701,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4879,4702,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
4912,4703,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4937,4704,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
4970,4705,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
4995,4706,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5028,4707,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5053,4708,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5086,4709,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5111,4710,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5144,4711,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5169,4712,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5202,4713,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5227,4714,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5260,4715,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5285,4716,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5318,4717,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5343,4718,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5376,4719,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5401,4720,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5434,4721,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5459,4722,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5492,4723,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5517,4724,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5550,4725,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5575,4726,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5608,4727,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5633,4728,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5666,4729,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5691,4730,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
5724,4731,0x0A0A,16,area_presence,,,,,,,,,1,0,0,0,1
5749,4732,0x0A04,24,target_list,0,1,1,-0.1467837542295456,1.0904091596603394,0.4697570204734802,0,,,,,,
